Feature,Importance
num_slashes,0.2603662002605106
path_length,0.2066671839468954
num_special_chars,0.14035342325856584
path_entropy,0.1011905862952114
num_dots,0.06633376413220875
url_length,0.051574577447214096
num_subdomains,0.04016247149056295
hostname_length,0.03004119591103645
num_digits,0.029953376814906296
is_https,0.021869532773436166
hostname_entropy,0.02109317289014767
num_hyphens,0.015552636275809741
suspicious_tld,0.004494311777464358
num_question_marks,0.0019877095283881174
query_length,0.0015996524825587105
is_shortener,0.0015058731003251922
long_url,0.0014664984629987044
brand_word_count,0.0014135743579880636
suspicious_word_count,0.0010930673375355992
num_equals,0.0007000334578307233
num_ampersands,0.00043587636012979184
has_punycode,0.0001322343034976263
has_ip,1.0366867876613637e-05
fragment_length,1.7320772022169889e-06
has_port,4.249433514085346e-07
very_long_url,3.1339603203082903e-07
num_at_symbols,2.0820006755196121e-07
num_percent_encoded,1.850247849575562e-09
has_userinfo,0.0
