Feature,MI Score
num_slashes,0.5838324181028955
path_length,0.5739448411213226
num_special_chars,0.5149441917751754
url_length,0.3511403581033743
hostname_entropy,0.32489546529616176
path_entropy,0.295019115254437
num_dots,0.242279653265842
hostname_length,0.23708698939602524
num_subdomains,0.217968411844093
num_digits,0.16835159745241612
num_hyphens,0.1056326364385034
long_url,0.06391408488000616
num_question_marks,0.05744769455224907
query_length,0.055936014082777596
num_equals,0.05407138216854768
is_https,0.04297708251963095
num_ampersands,0.04279035726632063
brand_word_count,0.040714702506255085
very_long_url,0.031431105345914645
is_shortener,0.01670496429146251
suspicious_word_count,0.012705818890609955
fragment_length,0.004195126773094637
num_percent_encoded,0.0031740984051329413
has_userinfo,0.001722679460708143
num_at_symbols,0.001412806469959671
suspicious_tld,0.0006089907987618659
has_punycode,0.00047523559747775224
has_ip,0.0
has_port,0.0
