feature,importance
num_slashes,0.26611771890757646
path_length,0.20648880511907527
num_special_chars,0.15950042429544908
path_entropy,0.09436222593873034
url_length,0.0583151067222058
num_dots,0.054453718637048204
num_subdomains,0.03704260927946713
hostname_length,0.03159124619917475
num_digits,0.026300572099344114
is_https,0.021629843897929116
hostname_entropy,0.018308474074138582
num_hyphens,0.011364817331101576
suspicious_tld,0.00392770015521666
num_question_marks,0.002599143261274638
long_url,0.0022773154516331313
is_shortener,0.0011944538850259204
num_equals,0.0011487992490271663
query_length,0.001140810494807761
suspicious_word_count,0.0007733732175804224
brand_word_count,0.000705389180052036
num_ampersands,0.00042963656228002257
has_punycode,0.00015724192489928216
very_long_url,0.00014917512756695194
num_at_symbols,1.0615745401434239e-05
has_ip,9.979340645061252e-06
fragment_length,7.914934495075603e-07
num_percent_encoded,1.2409899477537159e-08
has_userinfo,0.0
has_port,0.0
